Gen.G eSports results,,,,,,,,,,,,,,,,
GEN Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,0-2,Blue,9,52.5,3,0,BRO,19,62.6,9,3,31:48:00,BRION vs GEN (2),13.14,WEEK9,LCK Summer 2023
LOSS,|,Red,3,47.4,2,3,BRO,12,55.5,8,1,28:00:00,BRION vs GEN (1),13.14,WEEK9,LCK Summer 2023
WIN,Feb-00,Red,20,56,10,4,HLE,9,42.5,1,0,26:06:00,HLE vs GEN (2),13.14,WEEK9,LCK Summer 2023
WIN,|,Red,24,65.5,11,4,HLE,12,51.4,2,0,30:26:00,HLE vs GEN (1),13.14,WEEK9,LCK Summer 2023
WIN,Feb-00,Red,26,78.5,10,5,DK,15,70.4,9,1,40:00:00,GEN vs Dplus KIA (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Blue,23,68.8,10,3,DK,11,58.3,4,2,33:01:00,GEN vs Dplus KIA (1),13.13,WEEK8,LCK Summer 2023
WIN,Feb-00,Red,23,69.3,8,4,LSB,13,58,3,1,33:24:00,GEN vs LSB (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Blue,12,81,11,4,LSB,4,68.6,3,2,41:13:00,GEN vs LSB (1),13.13,WEEK8,LCK Summer 2023
LOSS,0-2,Blue,6,43.4,2,0,KT,15,50.7,8,4,26:08:00,GEN vs KT Rolster (2),13.12,WEEK7,LCK Summer 2023
LOSS,|,Blue,4,44.4,2,0,KT,14,53.7,9,3,27:24:00,GEN vs KT Rolster (1),13.12,WEEK7,LCK Summer 2023
WIN,Feb-00,Blue,12,60.7,8,1,KDF,11,54.6,3,3,30:59:00,KDF vs GEN (2),13.12,WEEK7,LCK Summer 2023
WIN,|,Red,21,93.1,9,4,KDF,9,81.7,6,3,49:14:00,KDF vs GEN (1),13.12,WEEK7,LCK Summer 2023
WIN,Feb-00,Red,17,58.2,10,4,DRX,5,45.1,1,0,27:47:00,DRX vs GEN (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Red,13,66.8,10,4,DRX,2,50.1,1,1,32:54:00,DRX vs GEN (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Red,29,55.3,10,4,NS,5,37.3,1,0,23:40,GEN vs NS (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Blue,17,52.1,10,2,NS,3,34.1,1,1,22:53,GEN vs NS (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Blue,12,58.1,9,3,T1,7,48.5,1,1,29:07:00,T1 vs GEN (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Red,21,58.4,9,4,T1,1,40.7,1,0,26:46:00,T1 vs GEN (1),13.12,WEEK5,LCK Summer 2023
WIN,Feb-00,Red,15,53.1,10,3,LSB,5,38.6,1,0,23:48,LSB vs GEN (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Red,23,66.8,10,3,LSB,6,50.2,2,2,31:00:00,LSB vs GEN (1),13.12,WEEK5,LCK Summer 2023
WIN,Feb-00,Red,17,59.1,9,3,HLE,9,49.5,3,1,28:38:00,GEN vs HLE (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,20,61.3,11,2,HLE,11,47.5,2,2,29:01:00,GEN vs HLE (1),13.12,WEEK4,LCK Summer 2023
WIN,Feb-00,Red,14,59,9,2,BRO,10,50.4,2,3,31:02:00,GEN vs BRION (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,17,84.9,11,5,BRO,11,80.5,7,2,45:15:00,GEN vs BRION (1),13.12,WEEK4,LCK Summer 2023
WIN,1-Feb,Blue,11,47.8,7,3,DK,2,38.1,2,0,24:38:00,Dplus KIA vs GEN (3),13.11,WEEK3,LCK Summer 2023
LOSS,|,Red,3,48.5,2,0,DK,8,56.3,8,4,31:06:00,Dplus KIA vs GEN (2),13.11,WEEK3,LCK Summer 2023
WIN,|,Red,10,58.1,9,3,DK,4,49.2,2,1,30:14:00,Dplus KIA vs GEN (1),13.11,WEEK3,LCK Summer 2023
WIN,Feb-00,Red,15,55.4,11,3,DRX,2,42.7,2,1,27:33:00,GEN vs DRX (2),13.11,WEEK3,LCK Summer 2023
WIN,|,Blue,11,48.1,8,3,DRX,0,34.1,1,0,22:52,GEN vs DRX (1),13.11,WEEK3,LCK Summer 2023
