KT Rolster results,,,,,,,,,,,,,,,,
KT Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Feb-00,Red,23,73.6,11,2,LSB,11,62.1,2,3,35:59:00,KT Rolster vs LSB (2),13.14,WEEK9,LCK Summer 2023
WIN,|,Blue,19,58.1,9,1,LSB,11,44.9,0,1,28:19:00,KT Rolster vs LSB (1),13.14,WEEK9,LCK Summer 2023
WIN,1-Feb,Red,18,56.3,8,2,NS,14,50.1,1,2,28:35:00,NS vs KT Rolster (3),13.14,WEEK9,LCK Summer 2023
WIN,|,Blue,18,58,11,3,NS,6,43.3,0,1,27:48:00,NS vs KT Rolster (2),13.14,WEEK9,LCK Summer 2023
LOSS,|,Red,9,59.9,4,3,NS,13,65,10,2,33:18:00,NS vs KT Rolster (1),13.14,WEEK9,LCK Summer 2023
WIN,Feb-00,Red,21,54,8,3,T1,5,46.8,3,0,26:40:00,KT Rolster vs T1 (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Blue,16,55.6,10,4,T1,4,41.7,2,0,27:27:00,KT Rolster vs T1 (1),13.13,WEEK8,LCK Summer 2023
WIN,Feb-00,Red,16,60.7,10,3,KDF,6,52,2,0,29:58:00,KDF vs KT Rolster (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Red,20,53.4,9,2,KDF,7,44.4,1,1,26:13:00,KDF vs KT Rolster (1),13.13,WEEK8,LCK Summer 2023
WIN,Feb-00,Red,15,50.7,8,4,GEN,6,43.4,2,0,26:08:00,GEN vs KT Rolster (2),13.12,WEEK7,LCK Summer 2023
WIN,|,Red,14,53.7,9,3,GEN,4,44.4,2,0,27:24:00,GEN vs KT Rolster (1),13.12,WEEK7,LCK Summer 2023
WIN,Feb-00,Red,13,63,7,4,DK,6,56.9,3,0,35:50:00,Dplus KIA vs KT Rolster (2),13.12,WEEK7,LCK Summer 2023
WIN,|,Red,18,62.4,7,3,DK,9,55.8,4,1,31:06:00,Dplus KIA vs KT Rolster (1),13.12,WEEK7,LCK Summer 2023
WIN,1-Feb,Blue,15,58,7,2,DRX,9,53.4,6,3,30:01:00,KT Rolster vs DRX (3),13.12,WEEK6,LCK Summer 2023
LOSS,|,Red,22,67.6,6,3,DRX,21,72.6,8,2,34:46:00,KT Rolster vs DRX (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Blue,18,56.5,10,3,DRX,9,44.7,1,1,26:51:00,KT Rolster vs DRX (1),13.12,WEEK6,LCK Summer 2023
WIN,1-Feb,Blue,14,61.4,8,3,HLE,8,51.4,2,1,30:44:00,HLE vs KT Rolster (3),13.12,WEEK6,LCK Summer 2023
LOSS,|,Red,6,49.8,2,0,HLE,14,58.9,11,4,30:11:00,HLE vs KT Rolster (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Red,20,54.8,11,1,HLE,7,43.5,2,3,26:12:00,HLE vs KT Rolster (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Red,14,60.5,9,3,BRO,8,53.2,3,1,31:52:00,KT Rolster vs BRION (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Blue,12,56.9,8,1,BRO,6,47.3,3,3,29:12:00,KT Rolster vs BRION (1),13.12,WEEK5,LCK Summer 2023
WIN,Feb-00,Red,13,64.2,11,2,BRO,5,52.3,2,2,32:38:00,BRION vs KT Rolster (2),13.12,WEEK5,LCK Summer 2023
WIN,|,Red,15,61,10,3,BRO,5,48.3,0,1,30:37:00,BRION vs KT Rolster (1),13.12,WEEK5,LCK Summer 2023
WIN,Feb-00,Red,17,59.3,8,3,NS,7,52.4,4,1,30:41:00,KT Rolster vs NS (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,22,62.7,11,3,NS,8,48.3,2,1,28:24:00,KT Rolster vs NS (1),13.12,WEEK4,LCK Summer 2023
WIN,Feb-00,Blue,16,52.6,10,4,KDF,1,41,1,0,26:02:00,KT Rolster vs KDF (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,15,65.1,7,4,KDF,7,62,5,1,35:59:00,KT Rolster vs KDF (1),13.12,WEEK4,LCK Summer 2023
WIN,Feb-00,Red,22,54.4,7,3,T1,7,45.7,3,1,26:30:00,T1 vs KT Rolster (2),13.11,WEEK3,LCK Summer 2023
WIN,|,Red,16,59.4,8,4,T1,3,47.8,1,0,30:34:00,T1 vs KT Rolster (1),13.11,WEEK3,LCK Summer 2023
WIN,Feb-00,Red,17,48.2,7,3,DK,4,36.7,1,0,22:35,KT Rolster vs Dplus KIA (2),13.11,WEEK3,LCK Summer 2023
