T1 results,,,,,,,,,,,,,,,,
T1 Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,1-Feb,Blue,21,66.7,11,4,LSB,4,51,2,1,31:45:00,LSB vs T1 (3),13.14,WEEK9,LCK Summer 2023
LOSS,|,Red,12,72.8,3,3,LSB,27,82.7,9,3,40:43:00,LSB vs T1 (2),13.14,WEEK9,LCK Summer 2023
WIN,|,Blue,12,55.6,10,2,LSB,5,45.2,2,2,28:00:00,LSB vs T1 (1),13.14,WEEK9,LCK Summer 2023
WIN,Feb-00,Blue,15,51.6,10,2,KDF,3,38.6,2,0,23:42,T1 vs KDF (2),13.14,WEEK9,LCK Summer 2023
WIN,|,Blue,13,47.8,7,3,KDF,4,38.1,2,0,23:40,T1 vs KDF (1),13.14,WEEK9,LCK Summer 2023
LOSS,0-2,Blue,5,46.8,3,0,KT,21,54,8,3,26:40:00,KT Rolster vs T1 (2),13.13,WEEK8,LCK Summer 2023
LOSS,|,Red,4,41.7,2,0,KT,16,55.6,10,4,27:27:00,KT Rolster vs T1 (1),13.13,WEEK8,LCK Summer 2023
LOSS,2-Jan,Blue,4,60.4,6,1,DRX,11,65.7,8,3,35:44:00,T1 vs DRX (3),13.13,WEEK8,LCK Summer 2023
LOSS,|,Blue,8,51.7,2,1,DRX,17,60.8,11,3,31:07:00,T1 vs DRX (2),13.13,WEEK8,LCK Summer 2023
WIN,|,Blue,10,57,8,3,DRX,6,46.5,2,0,28:33:00,T1 vs DRX (1),13.13,WEEK8,LCK Summer 2023
LOSS,2-Jan,Red,2,50.6,1,0,BRO,11,62.3,9,4,30:44:00,T1 vs BRION (3),13.12,WEEK7,LCK Summer 2023
WIN,|,Blue,15,63.4,11,2,BRO,5,52.9,1,1,31:37:00,T1 vs BRION (2),13.12,WEEK7,LCK Summer 2023
LOSS,|,Blue,7,72.3,7,1,BRO,11,76.3,9,5,41:15:00,T1 vs BRION (1),13.12,WEEK7,LCK Summer 2023
LOSS,0-2,Blue,14,65.6,2,2,HLE,21,74.1,11,3,36:30:00,HLE vs T1 (2),13.12,WEEK7,LCK Summer 2023
LOSS,|,Red,3,36.4,1,2,HLE,17,49.7,8,1,24:38:00,HLE vs T1 (1),13.12,WEEK7,LCK Summer 2023
LOSS,0-2,Blue,15,77,3,0,DK,26,87,11,6,41:10:00,Dplus KIA vs T1 (2),13.12,WEEK6,LCK Summer 2023
LOSS,|,Red,16,77.5,6,3,DK,15,75.8,7,4,43:04:00,Dplus KIA vs T1 (1),13.12,WEEK6,LCK Summer 2023
WIN,Feb-00,Blue,27,62.9,10,4,NS,6,47.1,3,0,28:00:00,T1 vs NS (2),13.12,WEEK6,LCK Summer 2023
WIN,|,Blue,18,73.1,8,4,NS,7,65.4,4,1,38:00:00,T1 vs NS (1),13.12,WEEK6,LCK Summer 2023
LOSS,0-2,Red,7,48.5,1,1,GEN,12,58.1,9,3,29:07:00,T1 vs GEN (2),13.12,WEEK5,LCK Summer 2023
LOSS,|,Blue,1,40.7,1,0,GEN,21,58.4,9,4,26:46:00,T1 vs GEN (1),13.12,WEEK5,LCK Summer 2023
LOSS,0-2,Blue,6,55.9,1,1,DRX,18,65.5,9,3,32:30:00,DRX vs T1 (2),13.12,WEEK5,LCK Summer 2023
LOSS,|,Red,2,50.3,3,1,DRX,19,63.6,11,3,31:19:00,DRX vs T1 (1),13.12,WEEK5,LCK Summer 2023
WIN,1-Feb,Red,16,59.6,8,3,NS,11,47.9,1,0,28:12:00,NS vs T1 (3),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,13,55.8,11,2,NS,7,41.1,0,1,26:50:00,NS vs T1 (2),13.12,WEEK4,LCK Summer 2023
LOSS,|,Blue,10,59.1,7,1,NS,20,64.7,8,4,34:29:00,NS vs T1 (1),13.12,WEEK4,LCK Summer 2023
WIN,Feb-00,Red,24,62.4,9,4,DK,12,51.1,2,1,30:10:00,T1 vs Dplus KIA (2),13.12,WEEK4,LCK Summer 2023
WIN,|,Blue,17,55.8,8,4,DK,8,45.6,2,0,27:35:00,T1 vs Dplus KIA (1),13.12,WEEK4,LCK Summer 2023
LOSS,0-2,Blue,7,45.7,3,1,KT,22,54.4,7,3,26:30:00,T1 vs KT Rolster (2),13.11,WEEK3,LCK Summer 2023
LOSS,|,Blue,3,47.8,1,0,KT,16,59.4,8,4,30:34:00,T1 vs KT Rolster (1),13.11,WEEK3,LCK Summer 2023
WIN,Feb-00,Red,19,57.1,11,3,KDF,5,43,1,0,27:32:00,KDF vs T1 (2),13.11,WEEK3,LCK Summer 2023
WIN,|,Red,18,60.2,9,4,KDF,4,53.2,3,0,30:59:00,KDF vs T1 (1),13.11,WEEK3,LCK Summer 2023
