Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
BRION,S13,KR,45,33.30%,0.79,1749,-112,32:17:00,8.4,10.7,4.6,6.9,55.6,46.7,1.89,41.9,-,1.09,54.4,0.8,0,-277,3.47,0.6,43.8,34.5,1848,3.5,1.47,1.87
Dplus KIA,S13,KR,40,60.00%,1.23,1859,78,31:38:00,13.1,10.7,6.5,5.1,47.5,45,2.65,58.6,-,0.98,48.8,1.18,0.1,638,4.83,0.88,61.6,33.8,2308,3.6,1.46,1.65
DRX,S13,KR,43,37.20%,0.72,1733,-159,30:40:00,9.7,13.4,4.6,6.8,39.5,37.2,1.77,39.3,-,1,50,0.72,0,-1036,4.26,0.63,38.2,32.6,1964,3.4,1.42,1.72
Gen.G eSports,S13,KR,39,82.10%,1.77,1969,275,29:57:00,14.4,8.2,8,3.6,71.8,76.9,2.74,64.6,-,0.9,44.9,1.05,0.3,1232,5.51,0.92,73.4,35.7,2269,3.3,1.1,1.75
Hanwha Life eSports,S13,KR,41,65.90%,1.27,1887,98,30:48:00,13.2,10.3,6.7,5.1,56.1,58.5,2.2,52.1,-,0.95,48.8,0.98,0,407,4.41,0.88,55,34.9,2162,3.6,1.62,1.58
KT Rolster,S13,KR,41,85.40%,1.94,1957,248,29:18:00,15.1,7.7,8.1,3.1,53.7,63.4,2.63,67.6,-,0.98,48.8,1.12,0.1,933,4.22,0.83,76.3,35,2165,3.4,1.37,1.54
Kwangdong Freecs,S13,KR,38,26.30%,0.61,1746,-164,31:42:00,8.8,14.5,4.4,7.3,44.7,44.7,1.87,40.6,-,1,50,0.76,0,-139,4.05,0.32,18.6,34.4,2095,3.4,1.49,1.58
Liiv SANDBOX,S13,KR,40,32.50%,0.82,1784,-106,32:28:00,11.5,14,5.1,7,42.5,47.5,2.03,45.3,-,0.88,44.9,0.97,-0.2,-841,3.28,0.63,45.9,34.1,1998,3.8,1.7,1.77
Nongshim RedForce,S13,KR,43,30.20%,0.7,1739,-190,30:47:00,9.5,13.6,4.1,7.6,44.2,25.6,1.74,38.5,-,0.98,48.8,0.74,-0.3,-1112,3.07,0.56,32.6,33.2,1924,3.8,1.66,1.67
T1,S13,KR,42,50.00%,0.97,1860,60,31:10:00,11.6,11.8,6.3,5.3,42.9,54.8,2.17,53.5,-,1.17,59.8,0.88,0,351,4.88,0.79,55.4,34.6,2152,3.5,1.45,1.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
