Cloud9 results,,,,,,,,,,,,,,,,
C9 Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Jan-00,Red,14,51.3,9,3,GG,3,40.1,2,1,25:33:00,Cloud9 vs GG,13.13,TIEBREAKERS,LCS Summer 2023
WIN,Jan-00,Blue,13,52.2,9,2,FLY,3,41.4,2,2,25:34:00,Cloud9 vs FlyQuest,13.13,WEEK6,LCS Summer 2023
WIN,Jan-00,Blue,11,41.3,8,1,TSM,5,32.1,1,2,20:41,TSM vs Cloud9,13.13,WEEK6,LCS Summer 2023
LOSS,0-1,Red,15,71.3,3,2,NRG,15,72.1,11,4,38:18:00,NRG vs Cloud9,13.13,WEEK6,LCS Summer 2023
WIN,Jan-00,Blue,8,50.3,8,1,EG,6,41.3,2,2,25:46:00,EG vs Cloud9,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Blue,20,57.3,10,1,100,11,44.8,1,2,27:08:00,Cloud9 vs 100 Thieves,13.13,WEEK5,LCS Summer 2023
LOSS,0-1,Blue,15,65.5,3,3,TL,13,69.7,9,3,38:33:00,Cloud9 vs Team Liquid,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Red,19,59.8,8,3,IMT,11,47,1,1,28:16:00,Immortals vs Cloud9,13.13,WEEK4,LCS Summer 2023
WIN,Jan-00,Blue,17,61.3,11,4,DIG,11,51,2,0,30:01:00,Cloud9 vs Dignitas,13.13,WEEK4,LCS Summer 2023
LOSS,0-1,Red,7,47,2,3,GG,15,57.9,9,1,27:55:00,GG vs Cloud9,13.13,WEEK4,LCS Summer 2023
WIN,Jan-00,Blue,25,51.1,11,2,EG,3,35.7,2,0,22:10,Cloud9 vs EG,13.12,WEEK3,LCS Summer 2023
LOSS,0-1,Red,4,45.4,1,0,TL,17,56.6,9,4,28:18:00,Team Liquid vs Cloud9,13.12,WEEK3,LCS Summer 2023
WIN,Jan-00,Blue,17,55.1,10,2,IMT,6,42.9,2,1,26:11:00,Cloud9 vs Immortals,13.12,WEEK3,LCS Summer 2023
LOSS,0-1,Blue,8,53.4,4,2,NRG,20,61.7,10,2,29:59:00,Cloud9 vs NRG,13.12,WEEK2,LCS Summer 2023
WIN,Jan-00,Red,12,54.3,9,4,100,3,42.9,2,0,26:46:00,100 Thieves vs Cloud9,13.12,WEEK2,LCS Summer 2023
WIN,Jan-00,Blue,19,59.8,9,3,FLY,4,44.5,1,1,28:24:00,FlyQuest vs Cloud9,13.12,WEEK2,LCS Summer 2023
WIN,Jan-00,Blue,14,58.1,8,3,TSM,9,50.5,4,1,29:24:00,Cloud9 vs TSM,13.11,WEEK1,LCS Summer 2023
WIN,Jan-00,Red,25,61.3,10,4,DIG,9,44.3,1,0,27:23:00,Dignitas vs Cloud9,13.11,WEEK1,LCS Summer 2023
WIN,Jan-00,Blue,9,49.6,7,2,GG,5,42.8,2,2,26:36:00,Cloud9 vs GG,13.11,WEEK1,LCS Summer 2023
