Team Liquid results,,,,,,,,,,,,,,,,
TL Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Jan-00,Blue,16,67.4,10,3,DIG,9,57.9,4,2,33:24:00,Team Liquid vs Dignitas,13.13,WEEK6,LCS Summer 2023
LOSS,0-1,Blue,13,60.3,4,2,EG,29,72.6,10,3,34:31:00,EG vs Team Liquid,13.13,WEEK6,LCS Summer 2023
LOSS,0-1,Red,6,47.2,3,2,GG,17,56.3,9,2,28:30:00,GG vs Team Liquid,13.13,WEEK6,LCS Summer 2023
WIN,Jan-00,Blue,20,62.9,10,3,FLY,19,53.6,2,0,30:01:00,Team Liquid vs FlyQuest,13.13,WEEK5,LCS Summer 2023
LOSS,0-1,Blue,14,70.4,7,2,TSM,23,70.5,7,4,38:27:00,TSM vs Team Liquid,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Red,13,69.7,9,3,C9,15,65.5,3,3,38:33:00,Cloud9 vs Team Liquid,13.13,WEEK5,LCS Summer 2023
WIN,Jan-00,Blue,18,56.9,10,4,100,6,43.7,2,0,27:42:00,Team Liquid vs 100 Thieves,13.13,WEEK4,LCS Summer 2023
WIN,Jan-00,Blue,17,49.8,9,3,IMT,4,39.3,2,0,24:53:00,Team Liquid vs Immortals,13.13,WEEK4,LCS Summer 2023
LOSS,0-1,Red,12,59.8,9,3,NRG,14,58.1,8,2,31:00:00,NRG vs Team Liquid,13.13,WEEK4,LCS Summer 2023
LOSS,0-1,Blue,8,53.3,3,2,GG,17,60.2,7,3,33:06:00,Team Liquid vs GG,13.12,WEEK3,LCS Summer 2023
WIN,Jan-00,Blue,17,56.6,9,4,C9,4,45.4,1,0,28:18:00,Team Liquid vs Cloud9,13.12,WEEK3,LCS Summer 2023
LOSS,0-1,Red,11,72.7,6,4,FLY,13,78,9,3,44:10:00,FlyQuest vs Team Liquid,13.12,WEEK3,LCS Summer 2023
LOSS,0-1,Blue,5,64.4,4,2,EG,18,74.4,11,3,38:05:00,Team Liquid vs EG,13.12,WEEK2,LCS Summer 2023
LOSS,0-1,Red,26,80.1,3,2,DIG,22,76.5,11,3,40:28:00,Dignitas vs Team Liquid,13.12,WEEK2,LCS Summer 2023
WIN,Jan-00,Blue,22,65.3,9,2,NRG,6,48.3,0,2,31:01:00,Team Liquid vs NRG,13.12,WEEK2,LCS Summer 2023
WIN,Jan-00,Red,16,47.2,11,2,IMT,1,28.8,0,0,21:09,Immortals vs Team Liquid,13.11,WEEK1,LCS Summer 2023
WIN,Jan-00,Red,12,60.8,11,4,100,3,53.5,3,1,32:32:00,100 Thieves vs Team Liquid,13.11,WEEK1,LCS Summer 2023
WIN,Jan-00,Blue,21,61.7,10,2,TSM,11,49.7,3,2,29:57:00,Team Liquid vs TSM,13.11,WEEK1,LCS Summer 2023
