Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S13,NA,19,36.80%,0.78,1759,-88,31:21:00,9.3,12,5.2,6.8,42.1,36.8,2.21,49.7,-,0.74,36.8,1,-0.2,-938,4.26,0.74,50.9,33.8,1916,3.2,1.09,1.45
Cloud9,S13,NA,19,73.70%,1.6,1974,262,28:03:00,14.3,8.9,7.4,3.8,52.6,52.6,2.37,61.8,-,1.26,63.2,1.11,-0.2,1226,5.21,0.79,72.2,35,2254,3.2,1,1.44
Dignitas,S13,NA,19,42.10%,0.75,1780,-123,33:09:00,12.2,16.2,5.4,7.3,42.1,47.4,2.11,43.6,-,0.95,47.4,0.42,-0.1,-972,4.53,0.58,31.6,32.5,2195,3.1,1.17,1.63
Evil Geniuses,S13,NA,18,66.70%,1.24,1904,120,28:56:00,14.1,11.4,7.1,4.7,44.4,61.1,2.22,57.6,-,1.17,58.3,1,-0.1,192,5.67,1.11,70.6,33.6,2264,3.1,1.21,1.33
FlyQuest,S13,NA,18,33.30%,0.9,1768,-89,31:19:00,11.8,13.1,4.8,7.1,61.1,33.3,1.72,42.6,-,1.17,58.3,0.78,-0.1,74,4.72,0.61,36.1,32,2024,3.2,1.29,1.35
Golden Guardians,S13,NA,19,68.40%,1.3,1904,148,32:20:00,15.3,11.7,7.1,4.5,63.2,57.9,2.05,49.4,-,1,50,0.74,0.2,953,5,0.95,56.9,33.8,2363,3.3,1.24,1.48
Immortals,S13,NA,18,27.80%,0.67,1704,-254,30:39:00,10.6,15.7,3.8,8.2,38.9,44.4,1.83,41.1,-,0.56,27.8,0.83,-0.2,-1768,3.22,0.44,28.4,31.6,2120,3.3,1.16,1.33
NRG,S13,NA,18,50.00%,1,1801,-45,34:17:00,13.8,13.7,6.6,6.3,38.9,50,2.11,43.4,-,0.78,38.9,0.44,-0.1,-463,4.11,1.06,50.5,31.9,2241,3.6,1.35,1.42
Team Liquid,S13,NA,18,55.60%,1.16,1907,162,32:33:00,14.8,12.8,7.6,5.1,61.1,77.8,2.72,63.9,-,1.44,72.2,1.11,0.8,2241,5.83,1.06,62.7,32.9,2542,3.3,1.34,1.56
TSM,S13,NA,18,44.40%,0.94,1755,-105,30:16:00,11.3,12.1,5.1,6.4,55.6,38.9,2.11,46.6,-,0.94,47.2,0.83,-0.2,-561,4.22,0.56,41.2,32.5,1928,3.4,1.13,1.34
MAD Lions,S13,EUW,5,20.00%,0.79,1757,-127,33:08:00,12.6,16,5,8,40,40,2.6,51.6,-,0.8,40,0.4,-0.2,-394,4.8,0.4,16.7,31.8,2017,3.3,1.32,1.56
NRG,S13,NA,8,50.00%,1.19,1780,-6,32:37:00,14.3,12,5.6,5.6,50,25,2.38,50.3,-,1.13,56.3,1,-0.3,-496,3.5,0.88,56.3,30.8,2167,3.6,1.33,1.43
T1,S13,KR,15,86.70%,2.08,1927,274,29:36:00,14,6.7,7.9,3.1,66.7,73.3,3.13,77.8,-,1.13,56.7,1.4,0.1,921,5,0.8,73.1,34.3,2171,3.9,1.29,1.63
Team BDS,S13,EUW,4,0.00%,0.41,1682,-341,26:59:00,6,14.5,2.8,9.5,50,25,1,27.9,-,0.5,25,0.75,-0.5,-2412,2.75,0.25,12.5,32.7,1322,3.7,1,1.38
Team Liquid,S13,NA,5,20.00%,0.57,1717,-164,31:16:00,8.8,15.4,4.8,7.2,20,40,1.6,44,-,0.8,40,0.4,-0.2,-1193,3.6,0.4,20,33.2,1690,3.5,1.39,1.71
Weibo Gaming,S13,CN,19,57.90%,1.06,1819,42,31:08:00,13.1,12.3,6.2,5.2,47.4,52.6,2.26,50.3,-,1.05,55.3,1.05,0.2,470,5.32,0.89,54.4,32,2270,3.3,1.32,1.57
