Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Astralis,S13,EUW,9,33.30%,0.65,1718,-131,29:15:00,9.3,14.2,4.7,6.3,44.4,55.6,1.89,40.9,-,1.33,66.7,0.78,0.7,341,5.44,0.44,38.9,31.5,1889,3.2,1.04,1.11
Excel Esports,S13,EUW,9,55.60%,1.2,1826,16,33:15:00,13.4,11.2,6.8,6.9,11.1,44.4,2.44,48.3,-,1.11,55.6,0.89,-0.6,-1194,4,0.89,50,32.2,2177,3.6,1.21,1.34
Fnatic,S13,EUW,9,77.80%,1.7,1929,223,31:59:00,17,10,8.2,4.4,66.7,44.4,2.89,65.8,-,0.78,44.4,0.78,0.1,1523,4,1,75.9,32.6,2373,2.8,0.93,1.46
G2 Esports,S13,EUW,9,88.90%,1.64,1941,299,31:24:00,15.1,9.2,9.3,3,44.4,100,3,66.1,-,1.22,61.1,0.89,0.8,1826,7,1.11,77.8,32.5,2294,3,0.9,1.31
KOI,S13,EUW,9,44.40%,1,1756,-37,33:03:00,10.4,10.4,5.9,6.8,66.7,55.6,1.89,37.2,-,0.89,44.4,0.78,-0.1,373,5.11,0.56,38.9,32.8,2054,3.1,1.12,1.28
MAD Lions,S13,EUW,9,44.40%,0.78,1782,-90,32:18:00,12.9,16.6,6.6,7.2,22.2,55.6,2.33,49.3,-,0.44,22.2,0.89,0.3,-68,5.11,0.67,40.7,32.3,2374,3,1.08,1.24
SK Gaming,S13,EUW,9,44.40%,1,1787,-61,32:58:00,13.8,13.7,5.7,7.3,66.7,33.3,1.89,37.8,-,1.33,66.7,0.67,-0.3,-409,5.22,0.89,55.6,31.1,2169,3.2,1.19,1.36
Team BDS,S13,EUW,9,44.40%,0.83,1787,-68,32:17:00,10.7,12.9,6.4,7.3,44.4,33.3,2.11,47.2,-,1,50,1,-0.7,-1542,4.33,0.89,50,32.1,1836,2.8,1,1.38
Team Heretics,S13,EUW,9,55.60%,1.11,1807,17,32:58:00,14.2,12.8,6.8,6.8,77.8,44.4,3,67.8,-,0.89,44.4,1,-0.3,-380,3.33,0.67,44.4,31.5,2301,3.1,1.04,1.38
Team Vitality,S13,EUW,9,11.10%,0.59,1730,-167,31:18:00,8.4,14.3,4.3,8.6,55.6,33.3,1.78,39.6,-,0.89,44.4,0.67,0.1,-469,5.78,0.56,27.8,33.2,2047,3.3,0.94,1.34
