Bilibili Gaming results,,,,,,,,,,,,,,,,
BLG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Feb-00,Blue,18,64.4,10,2,WE,14,53.9,2,3,31:20:00,Team WE vs BLG (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Red,17,67.4,9,2,WE,22,67.1,4,3,33:43:00,Team WE vs BLG (1),13.12,WEEK7,LPL Summer 2023
WIN,1-Feb,Blue,20,60,8,1,RNG,17,50.4,2,2,29:08:00,BLG vs RNG (3),13.12,WEEK7,LPL Summer 2023
WIN,|,Red,20,68.7,10,3,RNG,15,56.5,1,2,32:17:00,BLG vs RNG (2),13.12,WEEK7,LPL Summer 2023
LOSS,|,Blue,23,91.5,8,2,RNG,33,94.4,9,4,46:46:00,BLG vs RNG (1),13.12,WEEK7,LPL Summer 2023
WIN,Feb-00,Red,26,64,8,2,NIP,14,51,2,2,30:21:00,BLG vs NIP (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Blue,21,70.7,11,2,NIP,15,58.5,0,3,34:36:00,BLG vs NIP (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Red,27,57.9,8,3,TES,7,43.4,1,1,27:55:00,BLG vs Top Esports (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Blue,21,59.4,9,4,TES,11,47.3,2,0,29:11:00,BLG vs Top Esports (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Blue,23,55.8,10,4,FPX,8,39.6,0,0,24:02:00,FPX vs BLG (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Blue,18,58.4,9,2,FPX,10,47.1,2,1,26:32:00,FPX vs BLG (1),13.12,WEEK5,LPL Summer 2023
WIN,Feb-00,Blue,22,62.2,8,4,LGD,12,50.1,1,1,30:29:00,LGD Gaming vs BLG (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Red,18,65.4,10,4,LGD,11,57.6,4,0,32:54:00,LGD Gaming vs BLG (1),13.12,WEEK5,LPL Summer 2023
WIN,Feb-00,Red,24,58.2,10,4,IG,11,45.5,1,0,28:05:00,IG vs BLG (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Blue,26,59,11,3,IG,8,42.8,1,1,25:41:00,IG vs BLG (1),13.12,WEEK5,LPL Summer 2023
WIN,1-Feb,Blue,10,58.6,7,0,WBG,6,56.5,6,4,32:45:00,WBG vs BLG (3),13.11,WEEK4,LPL Summer 2023
WIN,|,Red,13,46.9,7,3,WBG,3,36.2,1,0,23:51,WBG vs BLG (2),13.11,WEEK4,LPL Summer 2023
LOSS,|,Red,10,69.3,4,1,WBG,22,80.7,10,4,41:37:00,WBG vs BLG (1),13.11,WEEK4,LPL Summer 2023
WIN,Feb-00,Red,21,67.8,10,3,LNG,15,57.2,2,2,33:03:00,BLG vs LNG Esports (2),13.11,WEEK4,LPL Summer 2023
WIN,|,Blue,19,58.5,9,3,LNG,9,48.3,3,1,28:42:00,BLG vs LNG Esports (1),13.11,WEEK4,LPL Summer 2023
LOSS,0-2,Red,7,40.8,1,1,JDG,24,54.2,8,2,25:05:00,JD Gaming vs BLG (2),13.11,WEEK3,LPL Summer 2023
LOSS,|,Red,11,55,4,0,JDG,23,67.1,11,4,31:10:00,JD Gaming vs BLG (1),13.11,WEEK3,LPL Summer 2023
WIN,Feb-00,Blue,16,56.3,8,4,TT,5,45.8,1,1,29:36:00,TT vs BLG (2),13.11,WEEK3,LPL Summer 2023
WIN,|,Red,18,63.5,10,3,TT,8,51.6,1,1,32:31:00,TT vs BLG (1),13.11,WEEK3,LPL Summer 2023
WIN,1-Feb,Blue,16,59.8,8,4,AL,10,51.4,3,0,30:40:00,BLG vs AL (3),13.11,WEEK3,LPL Summer 2023
LOSS,|,Blue,6,52,3,0,AL,11,58.3,8,4,32:30:00,BLG vs AL (2),13.11,WEEK3,LPL Summer 2023
WIN,|,Blue,22,69.7,10,2,AL,11,58.1,6,3,33:12:00,BLG vs AL (1),13.11,WEEK3,LPL Summer 2023
WIN,Feb-00,Blue,20,49.8,7,2,UP,8,37.6,0,1,23:00,BLG vs Ultra Prime (2),13.1,WEEK2,LPL Summer 2023
WIN,|,Blue,17,54.8,10,3,UP,5,43.3,1,0,27:41:00,BLG vs Ultra Prime (1),13.1,WEEK2,LPL Summer 2023
WIN,1-Feb,Red,22,54.6,9,2,EDG,9,40.7,1,1,26:00:00,EDG vs BLG (3),13.1,WEEK2,LPL Summer 2023
LOSS,|,Red,7,45.8,3,1,EDG,21,54.4,7,2,27:16:00,EDG vs BLG (2),13.1,WEEK2,LPL Summer 2023
WIN,|,Red,13,51.3,8,2,EDG,4,43.8,2,2,26:00:00,EDG vs BLG (1),13.1,WEEK2,LPL Summer 2023
WIN,1-Feb,Blue,20,64.6,8,4,RA,10,53.2,2,1,33:59:00,BLG vs Rare Atom (3),13.1,WEEK1,LPL Summer 2023
LOSS,|,Blue,10,53.4,4,1,RA,22,62.9,8,3,30:23:00,BLG vs Rare Atom (2),13.1,WEEK1,LPL Summer 2023
WIN,|,Blue,21,52,9,2,RA,5,36.7,1,2,23:10,BLG vs Rare Atom (1),13.1,WEEK1,LPL Summer 2023
WIN,Feb-00,Red,26,73,10,4,OMG,17,63.5,0,0,36:28:00,OMG vs BLG (2),13.1,WEEK1,LPL Summer 2023
WIN,|,Red,13,47.3,7,3,OMG,2,37.7,2,0,24:38:00,OMG vs BLG (1),13.1,WEEK1,LPL Summer 2023
