JD Gaming results,,,,,,,,,,,,,,,,
JDG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,Feb-00,Blue,17,50.6,9,2,TT,6,39.8,2,2,25:38:00,TT vs JD Gaming (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Red,17,59.4,9,3,TT,9,48.4,3,1,29:00:00,TT vs JD Gaming (1),13.12,WEEK7,LPL Summer 2023
WIN,Feb-00,Red,21,66.4,7,2,RA,21,66.7,5,3,34:38:00,JD Gaming vs Rare Atom (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Blue,21,59.3,10,4,RA,11,46.7,2,0,27:38:00,JD Gaming vs Rare Atom (1),13.12,WEEK7,LPL Summer 2023
WIN,Feb-00,Blue,17,60,8,4,WE,15,55.6,4,1,30:47:00,Team WE vs JD Gaming (2),13.12,WEEK7,LPL Summer 2023
WIN,|,Red,14,57.2,7,1,WE,7,53.9,5,3,31:22:00,Team WE vs JD Gaming (1),13.12,WEEK7,LPL Summer 2023
LOSS,2-Jan,Blue,17,62.1,3,1,IG,18,69.4,10,4,35:46:00,JD Gaming vs IG (3),13.12,WEEK6,LPL Summer 2023
LOSS,|,Red,11,56.8,4,1,IG,24,63.2,9,4,31:59:00,JD Gaming vs IG (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Red,17,60.2,10,2,IG,12,51.3,3,2,29:08:00,JD Gaming vs IG (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Blue,22,53.7,10,2,FPX,9,41.4,3,1,23:33,FPX vs JD Gaming (2),13.12,WEEK6,LPL Summer 2023
WIN,|,Red,17,59.3,9,4,FPX,9,55.1,7,0,29:57:00,FPX vs JD Gaming (1),13.12,WEEK6,LPL Summer 2023
WIN,Feb-00,Red,28,58.7,9,2,UP,11,48.1,2,1,27:36:00,Ultra Prime vs JD Gaming (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Blue,20,53.2,9,3,UP,6,40.1,2,0,24:34:00,Ultra Prime vs JD Gaming (1),13.12,WEEK5,LPL Summer 2023
WIN,Feb-00,Blue,12,42,7,1,NIP,5,31.6,0,0,20:13,NIP vs JD Gaming (2),13.12,WEEK5,LPL Summer 2023
WIN,|,Red,17,44.1,8,2,NIP,9,35.1,1,0,20:25,NIP vs JD Gaming (1),13.12,WEEK5,LPL Summer 2023
WIN,Feb-00,Red,18,51.6,8,4,TES,6,39.2,1,0,24:44:00,Top Esports vs JD Gaming (2),13.11,WEEK4,LPL Summer 2023
WIN,|,Red,16,60.3,11,2,TES,2,48.6,2,2,29:24:00,Top Esports vs JD Gaming (1),13.11,WEEK4,LPL Summer 2023
WIN,Feb-00,Blue,24,54.2,8,2,BLG,7,40.8,1,1,25:05:00,JD Gaming vs BLG (2),13.11,WEEK3,LPL Summer 2023
