LPL Summer 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Anyone s Legend,S13,CN,39,30.80%,0.76,1741,-165,31:04:00,10.8,14.2,4.3,7.4,43.6,25.6,2,45.9,-,-,-,-,-,-,-,0.59,35.9,32.7,1921,-,-,-
Bilibili Gaming,S13,CN,37,81.10%,1.44,1987,255,30:10:00,17.9,12.4,8,3.1,59.5,43.2,2.43,60.8,-,-,-,-,-,-,-,0.86,71.8,33.7,2445,-,-,-
Edward Gaming,S13,CN,41,48.80%,0.92,1829,2,30:58:00,12.8,14,6.2,5.7,46.3,48.8,2.15,51.7,-,-,-,-,-,-,-,0.73,50.9,33.1,2179,-,-,-
Funplus Phoenix,S13,CN,37,43.20%,0.81,1792,-86,29:37:00,10.7,13.2,5.1,6.6,51.4,37.8,1.57,37.5,-,-,-,-,-,-,-,0.49,37,32.7,1979,-,-,-
Invictus Gaming,S13,CN,36,36.10%,0.88,1780,-130,30:12:00,13.2,14.9,4.7,7.2,44.4,30.6,2.33,52.7,-,-,-,-,-,-,-,0.56,34.7,32.1,2098,-,-,-
JD Gaming,S13,CN,36,80.60%,1.63,1978,249,29:07:00,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-
LGD Gaming,S13,CN,39,28.20%,0.75,1752,-138,31:44:00,11.3,14.9,4.4,7.1,46.2,33.3,1.77,41.8,-,-,-,-,-,-,-,0.59,38.2,32.7,2018,-,-,-
LNG Esports,S13,CN,37,67.60%,1.48,1899,155,30:25:00,15.4,10.4,7.1,4.5,67.6,59.5,2.19,51.8,-,-,-,-,-,-,-,0.81,66.2,32.9,2278,-,-,-
Ninjas in Pyjamas,S13,CN,36,41.70%,0.84,1791,-76,28:59:00,10.9,12.9,5,6.3,44.4,30.6,1.64,41.2,-,-,-,-,-,-,-,0.72,54.7,32.8,2071,-,-,-
OMG,S13,CN,40,57.50%,1.06,1857,68,29:02:00,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-
Rare Atom,S13,CN,37,32.40%,0.73,1786,-122,29:56:00,11.2,15.5,4.7,7.1,48.6,29.7,1.68,40.2,-,-,-,-,-,-,-,0.68,38,32.7,1976,-,-,-
Royal Never Give Up,S13,CN,40,55.00%,1.08,1854,41,30:21:00,14.1,13,6.5,5,55,37.5,2.43,57.1,-,-,-,-,-,-,-,0.7,49.4,32.9,2232,-,-,-
Team WE,S13,CN,37,48.60%,1.07,1825,-2,30:57:00,12.4,11.6,5.8,6,51.4,29.7,2.16,50.5,-,-,-,-,-,-,-,0.73,54.2,32.9,2173,-,-,-
Top Esports,S13,CN,38,65.80%,1.32,1871,117,30:32:00,14,10.6,6.6,5,55.3,44.7,2.5,60.4,-,-,-,-,-,-,-,0.79,60.4,33.3,2204,-,-,-
TT,S13,CN,41,39.00%,0.86,1758,-89,32:15:00,11.6,13.4,5.1,6.9,48.8,46.3,2.27,50,-,-,-,-,-,-,-,0.59,36.3,32.8,1977,-,-,-
Ultra Prime,S13,CN,38,31.60%,0.69,1760,-178,28:38:00,10.6,15.4,4.4,7.1,36.8,31.6,1.82,44.3,-,-,-,-,-,-,-,0.47,35.2,32.5,1992,-,-,-
